Time	Fx1	Fy1	Fz1	COPx1	COPy1	COPz1	Ty1	Fx2	Fy2	Fz2	COPx2	COPy2	COPz2	Ty2
1	-0	-0	-0	2149	0	976.7	-0	-7.32	333.4	-21.21	2210.87	0	1274.45	14565.5
2	-0	-0	-0	2149	0	976.7	-0	-2.37	343.78	-19.61	2191.64	0	1281.3	12305.6
3	-0	-0	-0	2149	0	976.7	-0	-8.24	332.95	-13.5	2174.75	0	1280.16	17170.7
4	-0	-0	-0	2149	0	976.7	-0	-0.31	351.56	-22.2	2169.82	0	1286.09	16231.6
5	-0	-0	-0	2149	0	976.7	-0	7.78	342.1	-19.3	2182.08	0	1277.21	13545.4
6	-0	-0	-0	2149	0	976.7	-0	3.51	354.31	-25.63	2176.63	0	1278.24	15084.8
7	-0	-0	-0	2149	0	976.7	-0	4.58	349.73	-23.57	2129.48	0	1286	13099.3
8	-0	-0	-0	2149	0	976.7	-0	9.69	364.69	-19.68	2159.52	0	1286.76	17415.7
9	-0	-0	-0	2149	0	976.7	-0	4.5	362.55	-27.47	2155.58	0	1272.27	13380.4
10	-9.38	-19.38	-1.22	2138.15	0	811.42	7517.45	20.22	381.77	-22.28	2134.21	0	1293.06	16392.9
11	-0	-0	-0	2149	0	976.7	-0	4.04	375.52	-21.36	2121	0	1281.6	16058
12	-0	-0	-0	2149	0	976.7	-0	20.98	397.64	-22.05	2147.41	0	1287.88	19476.7
13	-0	-0	-0	2149	0	976.7	-0	15.79	401.76	-27.47	2124.94	0	1284.58	13218.2
14	-0	-0	-0	2149	0	976.7	-0	14.11	414.12	-28.99	2114.66	0	1281.43	17738
15	-0	-0	-0	2149	0	976.7	-0	21.51	419.01	-18.08	2113.57	0	1291.63	18425.8
16	-0	-0	-0	2149	0	976.7	-0	14.42	437.47	-30.29	2127.07	0	1284.31	13276.5
17	-0	-0	-0	2149	0	976.7	-0	24.95	442.5	-32.12	2117.98	0	1275.11	19648.8
18	-2.14	-15.72	-2.75	1903.47	0	830.98	5917.6	20.07	454.71	-22.2	2103.35	0	1289.68	14220.1
19	-0	-0	-0	2149	0	976.7	-0	22.96	477.14	-25.56	2103.96	0	1292.24	17375.4
20	-9.08	-15.72	-2.06	2189.7	0	888.58	7219.81	31.89	473.18	-26.93	2095.93	0	1277.42	18898.6
21	0	0	0	2149	0	976.7	0	27.08	500.95	-27.39	2106.83	0	1288.83	16013.6
22	-0	-0	-0	2149	0	976.7	-0	22.51	504.15	-25.48	2069.77	0	1287.69	18162.6
23	-0	-0	-0	2149	0	976.7	-0	39.9	521.39	-25.86	2084.1	0	1287.48	19805.8
24	-0	-0	-0	2149	0	976.7	-0	30.52	534.21	-27.62	2092.82	0	1286.4	14668.1
25	-0	-0	-0	2149	0	976.7	-0	33.95	538.02	-31.51	2061.74	0	1283.33	19838.3
26	-0	-0	-0	2149	0	976.7	-0	40.51	554.35	-23.88	2071.46	0	1286.57	18945.5
27	-0	-0	-0	2149	0	976.7	-0	41.12	567.32	-24.49	2067.3	0	1288.4	17934
28	-0	-0	-0	2149	0	976.7	-0	49.74	578.92	-32.12	2056.19	0	1284.9	23169.8
