Cycle,GRF
0,-0.159
0,-0.312
0,-0.447
0,-0.532
0,-0.536
0,-0.436
0,-0.221
0,0.100
0,0.493
0,0.901
0,1.249
0,1.450
0,1.422
0,1.106
0,0.480
0,-0.420
0,-1.493
0,-2.578
0,-3.463
0,-3.913
0,-3.716
0,-2.724
0,-0.906
0,1.611
0,4.526
0,7.367
0,9.538
0,10.397
0,9.376
0,6.112
0,0.582
0,-6.779
0,-15.020
0,-22.683
0,-27.909
0,-28.623
0,-22.810
0,-8.822
0,14.323
1,46.698
1,87.356
1,134.373
1,185.068
1,236.361
1,285.218
1,329.083
1,366.218
1,395.891
1,418.371
1,434.768
1,446.758
1,456.249
1,465.059
1,474.663
1,486.026
1,499.558
1,515.157
1,532.335
1,550.370
1,568.478
1,585.936
1,602.182
1,616.856
1,629.801
1,641.033
1,650.693
1,658.986
1,666.133
1,672.326
1,677.703
1,682.336
1,686.231
1,689.347
1,691.609
1,692.926
1,693.212
1,692.397
1,690.437
1,687.316
1,683.050
1,677.687
1,671.302
1,663.996
1,655.894
1,647.132
1,637.857
1,628.216
1,618.347
1,608.373
1,598.399
1,588.505
1,578.752
1,569.185
1,559.832
1,550.714
1,541.846
1,533.238
1,524.898
1,516.830
1,509.032
1,501.496
1,494.200
1,487.116
1,480.205
1,473.422
1,466.719
1,460.052
1,453.383
1,446.688
1,439.963
1,433.220
1,426.489
1,419.818
1,413.265
1,406.895
1,400.777
1,394.978
1,389.560
1,384.580
1,380.084
1,376.115
1,372.706
1,369.883
1,367.667
1,366.072
1,365.109
1,364.782
1,365.094
1,366.043
1,367.625
1,369.832
1,372.653
1,376.076
1,380.083
1,384.657
1,389.779
1,395.434
1,401.609
1,408.294
1,415.483
1,423.170
1,431.347
1,439.999
1,449.104
1,458.632
1,468.546
1,478.805
1,489.366
1,500.189
1,511.241
1,522.493
1,533.922
1,545.510
1,557.237
1,569.082
1,581.013
1,592.991
1,604.968
1,616.882
1,628.665
1,640.237
1,651.515
1,662.411
1,672.839
1,682.711
1,691.947
1,700.473
1,708.223
1,715.141
1,721.184
1,726.317
1,730.519
1,733.778
1,736.090
1,737.456
1,737.879
1,737.361
1,735.899
1,733.487
1,730.111
1,725.758
1,720.415
1,714.070
1,706.717
1,698.358
1,688.995
1,678.638
1,667.290
1,654.953
1,641.616
1,627.252
1,611.812
1,595.225
1,577.394
1,558.197
1,537.494
1,515.139
1,490.996
1,464.962
1,437.000
1,407.166
1,375.639
1,342.735
1,308.919
1,274.785
1,241.029
1,208.398
1,177.627
1,149.374
1,124.154
1,102.294
1,83.906
1,68.880
1,56.911
1,47.545
1,40.239
1,34.429
0,29.598
0,25.324
0,21.316
0,17.421
0,13.614
0,9.969
0,6.616
0,3.698
0,1.335
0,-0.400
0,-1.499
0,-2.014
0,-2.049
0,-1.736
0,-1.220
0,-0.634
0,-0.087
0,0.344
0,0.620
0,0.734
0,0.706
0,0.573
0,0.381
0,0.173
0,-0.016
0,-0.160
0,-0.247
0,-0.277
0,-0.257
0,-0.202
0,-0.128
0,-0.050
0,0.017
0,0.067
0,0.096
0,0.103
0,0.093
0,0.070
0,0.042
0,0.014
0,-0.010
0,-0.027
0,-0.036
0,-0.037
0,-0.032
0,-0.022
0,-0.012
0,-0.001
0,0.006
0,0.011
0,0.012
0,0.010
0,0.006
0,0.001
0,-0.003
0,-0.005
0,-0.006
0,-0.004
0,0.001
0,0.007
0,0.012
0,0.017
0,0.018
0,0.016
0,0.009
0,-0.002
0,-0.017
0,-0.032
0,-0.045
0,-0.053
0,-0.052
0,-0.041
0,-0.018
0,0.016
0,0.056
0,0.097
0,0.130
0,0.147
0,0.139
0,0.102
0,0.034
0,-0.060
0,-0.170
0,-0.278
0,-0.361
0,-0.398
0,-0.365
0,-0.252
0,-0.056
0,0.208
0,0.506
0,0.790
0,0.999
0,1.071
0,0.952
0,0.611
0,0.052
0,-0.676
0,-1.479
0,-2.219
0,-2.730
0,-2.845
0,-2.429
0,-1.411
0,0.178
0,2.183
0,4.321
0,6.198
0,7.354
0,7.338
0,5.798
0,2.583
0,-2.156
0,-7.908
0,-13.767
0,-18.479
0,-20.536
0,-18.353
0,-10.472
0,4.199
0,26.186
2,55.299
2,90.585
2,130.394
2,172.566
2,214.698
2,254.455
2,289.862
2,319.531
2,342.794
2,359.718
2,371.028
2,377.949
2,382.007
2,384.817
2,387.891
2,392.479
2,399.470
2,409.345
2,422.190
2,437.746
2,455.498
2,474.772
2,494.831
2,514.960
2,534.529
2,553.035
2,570.116
2,585.557
2,599.277
2,611.304
2,621.752
2,630.792
2,638.621
2,645.439
2,651.427
2,656.727
2,661.435
2,665.596
2,669.202
2,672.206
2,674.528
2,676.069
2,676.731
2,676.423
2,675.079
2,672.666
2,669.183
2,664.665
2,659.178
2,652.808
2,645.656
2,637.825
2,629.412
2,620.506
2,611.184
2,601.507
2,591.526
2,581.286
2,570.832
2,560.213
2,549.490
2,538.735
2,528.035
2,517.481
2,507.169
2,497.184
2,487.598
2,478.467
2,469.822
2,461.679
2,454.039
2,446.896
2,440.243
2,434.075
2,428.396
2,423.217
2,418.551
2,414.418
2,410.833
2,407.812
2,405.364
2,403.495
2,402.205
2,401.496
2,401.363
2,401.803
2,402.809
2,404.371
2,406.473
2,409.090
2,412.189
2,415.730
2,419.665
2,423.945
2,428.519
2,433.345
2,438.387
2,443.618
2,449.022
2,454.589
2,460.312
2,466.187
2,472.209
2,478.372
2,484.671
2,491.095
2,497.634
2,504.276
2,511.010
2,517.822
2,524.702
2,531.641
2,538.630
2,545.659
2,552.714
2,559.775
2,566.814
2,573.793
2,580.667
2,587.380
2,593.874
2,600.091
2,605.971
2,611.458
2,616.500
2,621.049
2,625.059
2,628.485
2,631.288
2,633.425
2,634.856
2,635.544
2,635.452
2,634.550
2,632.813
2,630.228
2,626.793
2,622.519
2,617.432
2,611.571
2,604.977
2,597.696
2,589.761
2,581.183
2,571.942
2,561.977
2,551.172
2,539.360
2,526.317
2,511.779
2,495.456
2,477.063
2,456.357
2,433.175
2,407.479
2,379.386
2,349.192
2,317.376
2,284.576
2,251.552
2,219.125
2,188.109
2,159.231
2,133.075
2,110.023
2,90.239
2,73.666
2,60.062
2,49.046
2,40.159
2,32.931
0,26.932
0,21.810
0,17.316
0,13.305
0,9.719
0,6.568
0,3.893
0,1.742
0,0.142
0,-0.916
0,-1.477
0,-1.623
0,-1.459
0,-1.100
0,-0.654
0,-0.213
0,0.155
0,0.410
0,0.540
0,0.554
0,0.478
0,0.344
0,0.186
0,0.034
0,-0.088
0,-0.170
0,-0.207
0,-0.204
0,-0.170
0,-0.117
0,-0.058
0,-0.003
0,0.040
0,0.068
0,0.079
0,0.075
0,0.061
0,0.040
0,0.018
0,-0.002
0,-0.017
0,-0.027
0,-0.030
0,-0.028
0,-0.022
0,-0.014
0,-0.005
0,0.003
