t,y,c,cf,trend_intra
0.0,37.6,1,1,0.0
0.01,471.42106,1,1,0.02037
0.02,462.01181,1,1,0.08146
0.03,537.38622,1,1,0.18329
0.04,632.04,1,1,0.32584
0.05,704.43626,1,1,0.50913
0.06,750.95745,1,1,0.73315
0.07,843.8081,1,1,0.99789
0.08,918.80184,1,1,1.30337
0.09,950.9701,1,1,1.64958
0.1,952.27977,1,1,2.03652
0.11,930.43901,1,1,2.46419
0.12,905.86407,1,1,2.88
0.13,866.35897,1,1,2.85749
0.14,812.49015,1,1,2.60211
0.15,755.96892,1,1,2.27884
0.16,704.31048,1,1,1.88769
0.17,658.91876,1,1,1.42866
0.18,619.23667,1,1,0.90174
0.19,586.48571,1,1,0.30694
0.2,561.39365,1,1,-0.35575
0.21,540.73562,1,1,-1.08632
0.22,526.86461,1,1,-1.88477
0.23,517.69589,1,1,-2.75111
0.24,519.57488,1,1,-3.68533
0.25,533.26033,1,1,-3.89527
0.26,562.37011,1,1,-3.47747
0.27,600.96744,1,1,-3.01553
0.28,647.81489,1,1,-2.50947
0.29,696.48334,1,1,-1.95929
0.3,747.93946,1,1,-1.36498
0.31,798.46013,1,1,-0.72655
0.32,844.99483,1,1,-0.044
0.33,890.45483,1,1,0.68269
0.34,931.32906,1,1,1.45349
0.35,963.42768,1,1,2.26842
0.36,984.52402,1,1,3.12748
0.37,990.85552,1,1,3.7
0.38,983.15742,1,1,3.54694
0.39,959.50826,1,1,3.30934
0.4,915.74852,1,1,3.05478
0.41,851.32912,1,1,2.78324
0.42,763.64333,1,1,2.49474
0.43,640.34024,1,1,2.18926
0.44,483.14706,1,1,1.86681
0.45,304.08891,1,1,1.52739
0.46,155.79895,1,1,1.171
0.47,85.88368,1,1,0.79764
0.48,49.80174,1,1,0.4073
0.49,24.61409,1,1,0.0
0.5,0.0,0,1,0.0
0.51,0.0,0,1,0.0
0.52,0.0,0,1,0.0
0.53,0.0,0,1,0.0
0.54,0.0,0,1,0.0
0.55,0.0,0,1,0.0
0.56,0.0,0,1,0.0
0.57,0.0,0,1,0.0
0.58,0.0,0,1,0.0
0.59,0.0,0,1,0.0
0.6,0.0,0,1,0.0
0.61,0.0,0,1,0.0
0.62,0.0,0,1,0.0
0.63,0.0,0,1,0.0
0.64,0.0,0,1,0.0
0.65,0.0,0,1,0.0
0.66,0.0,0,1,0.0
0.67,0.0,0,1,0.0
0.68,0.0,0,1,0.0
0.69,0.0,0,1,0.0
0.7,0.0,0,1,0.0
0.71,0.0,0,1,0.0
0.72,0.0,0,1,0.0
0.73,0.0,0,1,0.0
0.74,0.0,0,1,0.0
0.75,0.0,0,1,0.0
0.76,0.0,0,1,0.0
0.77,0.0,0,1,0.0
0.78,0.0,0,1,0.0
0.79,0.0,0,1,0.0
0.8,0.0,0,1,0.0
0.81,0.0,0,1,0.0
0.82,32.24665,2,2,0.0
0.83,438.43661,2,2,1.56274
0.84,439.62961,2,2,3.16314
0.85,540.51438,2,2,4.80119
0.86,595.6771,2,2,6.4769
0.87,693.64892,2,2,8.19027
0.88,729.49719,2,2,9.94129
0.89,798.8607,2,2,11.72997
0.9,885.35392,2,2,13.55631
0.91,943.52455,2,2,15.4203
0.92,965.53165,2,2,17.32195
0.93,962.67583,2,2,19.26125
0.94,942.00598,2,2,21.23821
0.95,919.47486,2,2,22.8
0.96,882.94509,2,2,21.28588
0.97,831.26778,2,2,18.46371
0.98,776.5918,2,2,15.57879
0.99,724.8919,2,2,12.6311
1.0,678.47772,2,2,9.62066
1.01,637.62102,2,2,6.54745
1.02,601.19813,2,2,3.41148
1.03,571.52854,2,2,0.21275
1.04,548.53383,2,2,-3.04874
1.05,528.58438,2,2,-6.37299
1.06,515.17762,2,2,-9.76
1.07,505.2135,2,2,-13.20977
1.08,505.94346,2,2,-16.7223
1.09,517.82965,2,2,-17.07414
1.1,544.54623,2,2,-14.98709
1.11,580.46155,2,2,-12.85925
1.12,623.3448,2,2,-10.69061
1.13,668.95339,2,2,-8.48117
1.14,718.39437,2,2,-6.23094
1.15,766.15589,2,2,-3.93992
1.16,811.9343,2,2,-1.6081
1.17,856.47347,2,2,0.76451
1.18,898.95515,2,2,3.17791
1.19,935.95026,2,2,5.63212
