t,y,trend
0.0,-0.03883,0.0
0.01,0.05603,0.001
0.02,0.15008,0.002
0.03,0.24495,0.003
0.04,0.34128,0.004
0.05,0.43858,0.005
0.06,0.53516,0.006
0.07,0.62865,0.007
0.08,0.71638,0.008
0.09,0.79615,0.009
0.1,0.86609,0.01
0.11,0.92501,0.011
0.12,0.97201,0.012
0.13,1.00624,0.013
0.14,1.02677,0.014
0.15,1.03253,0.015
0.16,1.02238,0.016
0.17,0.99549,0.017
0.18,0.95143,0.018
0.19,0.89071,0.019
0.2,0.81482,0.02
0.21,0.72649,0.021
0.22,0.62949,0.022
0.23,0.5282,0.023
0.24,0.42704,0.024
0.25,0.32961,0.025
0.26,0.23822,0.026
0.27,0.15352,0.027
0.28,0.07481,0.028
0.29,0.00025,0.029
0.3,-0.07226,0.03
0.31,-0.14437,0.031
0.32,-0.21679,0.032
0.33,-0.28907,0.033
0.34,-0.35968,0.034
0.35,-0.42643,0.035
0.36,-0.48697,0.036
0.37,-0.53932,0.037
0.38,-0.58213,0.038
0.39,-0.61492,0.039
0.4,-0.63759,0.04
0.41,-0.65002,0.041
0.42,-0.65153,0.042
0.43,-0.64042,0.043
0.44,-0.61404,0.044
0.45,-0.56924,0.045
0.46,-0.50318,0.046
0.47,-0.41446,0.047
0.48,-0.30375,0.048
0.49,-0.17424,0.049
0.5,-0.03119,0.05
0.51,0.11886,0.051
0.52,0.26919,0.052
0.53,0.41419,0.053
0.54,0.5498,0.054
0.55,0.67383,0.055
0.56,0.78516,0.056
0.57,0.88316,0.057
0.58,0.96698,0.058
0.59,1.03479,0.059
0.6,1.08438,0.06
0.61,1.11324,0.061
0.62,1.1198,0.062
0.63,1.10377,0.063
0.64,1.06665,0.064
0.65,1.0113,0.065
0.66,0.94145,0.066
0.67,0.86076,0.067
0.68,0.77209,0.068
0.69,0.67702,0.069
0.7,0.57583,0.07
0.71,0.46753,0.071
0.72,0.35077,0.072
0.73,0.22402,0.073
0.74,0.08685,0.074
0.75,-0.06018,0.075
0.76,-0.21475,0.076
0.77,-0.37301,0.077
0.78,-0.52984,0.078
0.79,-0.67919,0.079
0.8,-0.81494,0.08
0.81,-0.93158,0.081
0.82,-1.02496,0.082
0.83,-1.09316,0.083
0.84,-1.13676,0.084
0.85,-1.15861,0.085
0.86,-1.16303,0.086
0.87,-1.15443,0.087
0.88,-1.13589,0.088
0.89,-1.10802,0.089
0.9,-1.06896,0.09
0.91,-1.01508,0.091
0.92,-0.94256,0.092
0.93,-0.84896,0.093
0.94,-0.73403,0.094
0.95,-0.60004,0.095
0.96,-0.45082,0.096
0.97,-0.2907,0.097
0.98,-0.12346,0.098
0.99,0.04794,0.099
1.0,0.2209,0.1
1.01,0.39249,0.101
1.02,0.55871,0.102
1.03,0.71418,0.103
1.04,0.85282,0.104
1.05,0.96879,0.105
1.06,1.05792,0.106
1.07,1.11846,0.107
1.08,1.1516,0.108
1.09,1.16098,0.109
1.1,1.15188,0.11
1.11,1.12998,0.111
1.12,1.10029,0.112
1.13,1.0663,0.113
1.14,1.02966,0.114
1.15,0.99022,0.115
1.16,0.9463,0.116
1.17,0.89549,0.117
1.18,0.83531,0.118
1.19,0.764,0.119
1.2,0.68106,0.12
1.21,0.58758,0.121
1.22,0.48615,0.122
1.23,0.3803,0.123
1.24,0.27392,0.124
1.25,0.1704,0.125
1.26,0.07201,0.126
1.27,-0.02042,0.127
1.28,-0.10767,0.128
1.29,-0.19158,0.129
1.3,-0.27479,0.13
1.31,-0.35969,0.131
1.32,-0.44797,0.132
1.33,-0.53986,0.133
1.34,-0.63362,0.134
1.35,-0.72557,0.135
1.36,-0.81041,0.136
1.37,-0.88173,0.137
1.38,-0.93286,0.138
1.39,-0.95807,0.139
1.4,-0.95315,0.14
1.41,-0.91618,0.141
1.42,-0.84769,0.142
1.43,-0.75068,0.143
1.44,-0.63009,0.144
1.45,-0.49207,0.145
1.46,-0.34338,0.146
1.47,-0.19058,0.147
1.48,-0.03946,0.148
1.49,0.10519,0.149
1.5,0.23983,0.15
1.51,0.36203,0.151
1.52,0.47045,0.152
1.53,0.56477,0.153
1.54,0.64555,0.154
1.55,0.71405,0.155
1.56,0.77182,0.156
1.57,0.82045,0.157
1.58,0.86111,0.158
1.59,0.8942,0.159
1.6,0.91955,0.16
1.61,0.93651,0.161
1.62,0.94434,0.162
1.63,0.94287,0.163
1.64,0.93256,0.164
1.65,0.9147,0.165
1.66,0.89088,0.166
1.67,0.86259,0.167
1.68,0.83031,0.168
1.69,0.79282,0.169
1.7,0.74708,0.17
1.71,0.68862,0.171
1.72,0.61245,0.172
1.73,0.51465,0.173
1.74,0.39355,0.174
1.75,0.25068,0.175
1.76,0.09078,0.176
1.77,-0.07868,0.177
1.78,-0.24874,0.178
1.79,-0.41049,0.179
1.8,-0.55604,0.18
1.81,-0.67929,0.181
1.82,-0.77642,0.182
1.83,-0.84545,0.183
1.84,-0.88609,0.184
1.85,-0.89919,0.185
1.86,-0.88646,0.186
1.87,-0.85053,0.187
1.88,-0.79499,0.188
1.89,-0.72443,0.189
1.9,-0.644,0.19
1.91,-0.55898,0.191
1.92,-0.47379,0.192
1.93,-0.39102,0.193
1.94,-0.31117,0.194
1.95,-0.23294,0.195
1.96,-0.15416,0.196
1.97,-0.07304,0.197
1.98,0.01076,0.198
1.99,0.09593,0.199
2.0,0.18008,0.2
2.01,0.26093,0.201
2.02,0.33767,0.202
2.03,0.41167,0.203
2.04,0.48655,0.204
2.05,0.56692,0.205
2.06,0.65691,0.206
2.07,0.75844,0.207
2.08,0.86987,0.208
2.09,0.9862,0.209
2.1,1.09974,0.21
2.11,1.20191,0.211
2.12,1.28509,0.212
2.13,1.34412,0.213
2.14,1.37687,0.214
2.15,1.38375,0.215
2.16,1.36689,0.216
2.17,1.32884,0.217
2.18,1.27157,0.218
2.19,1.19603,0.219
2.2,1.10243,0.22
2.21,0.9903,0.221
2.22,0.8593,0.222
2.23,0.70961,0.223
2.24,0.54241,0.224
2.25,0.3604,0.225
2.26,0.16817,0.226
2.27,-0.02749,0.227
2.28,-0.21805,0.228
2.29,-0.39395,0.229
2.3,-0.54609,0.23
2.31,-0.66755,0.231
2.32,-0.75468,0.232
2.33,-0.80765,0.233
2.34,-0.83003,0.234
2.35,-0.82749,0.235
2.36,-0.80622,0.236
2.37,-0.77152,0.237
2.38,-0.72664,0.238
2.39,-0.6727,0.239
2.4,-0.60884,0.24
2.41,-0.53329,0.241
2.42,-0.44418,0.242
2.43,-0.34042,0.243
2.44,-0.22254,0.244
2.45,-0.09319,0.245
2.46,0.04298,0.246
2.47,0.17964,0.247
2.48,0.31,0.248
2.49,0.42786,0.249
2.5,0.52904,0.25
2.51,0.61212,0.251
2.52,0.67858,0.252
2.53,0.73236,0.253
2.54,0.77872,0.254
2.55,0.82255,0.255
2.56,0.86745,0.256
2.57,0.91457,0.257
2.58,0.96243,0.258
2.59,1.00729,0.259
2.6,1.0442,0.26
2.61,1.06836,0.261
2.62,1.07633,0.262
2.63,1.06726,0.263
2.64,1.04318,0.264
2.65,1.00848,0.265
2.66,0.96908,0.266
2.67,0.93068,0.267
2.68,0.89742,0.268
2.69,0.8707,0.269
2.7,0.84858,0.27
2.71,0.8262,0.271
