t,y,c
0.0,4.87581,1
0.01,6.36343,1
0.02,7.93111,1
0.03,9.78742,1
0.04,11.70256,1
0.05,13.69432,1
0.06,15.44857,1
0.07,17.07571,1
0.08,18.1489,1
0.09,19.09337,1
0.1,19.55891,1
0.11,19.86529,1
0.12,19.80507,1
0.13,19.55965,1
0.14,19.14319,1
0.15,18.63289,1
0.16,18.08909,1
0.17,17.42644,1
0.18,16.74649,1
0.19,16.01046,1
0.2,15.27115,1
0.21,14.52667,1
0.22,13.74558,1
0.23,12.94064,1
0.24,12.17655,1
0.25,11.42097,1
0.26,10.65815,1
0.27,9.92843,1
0.28,9.29443,1
0.29,8.69288,1
0.3,8.12731,1
0.31,7.67086,1
0.32,7.26316,1
0.33,7.01469,1
0.34,6.79955,1
0.35,6.70466,1
0.36,6.63507,1
0.37,6.61404,1
0.38,6.71193,1
0.39,6.9034,1
0.4,7.32491,1
0.41,7.81254,1
0.42,8.70996,1
0.43,9.69677,1
0.44,11.00834,1
0.45,12.50483,1
0.46,14.24832,1
0.47,16.31677,1
0.48,18.56384,1
0.49,21.16159,1
0.5,23.84911,1
0.51,26.92803,1
0.52,30.09782,1
0.53,33.48305,1
0.54,36.9608,1
0.55,40.52611,1
0.56,44.06579,1
0.57,47.59604,1
0.58,50.70676,1
0.59,53.69308,1
0.6,56.16693,1
0.61,58.28619,1
0.62,59.83252,1
0.63,60.86522,1
0.64,61.55467,1
0.65,61.46706,1
0.66,61.17775,1
0.67,60.11064,1
0.68,58.83112,1
0.69,56.91709,1
0.7,54.73313,1
0.71,52.24222,1
0.72,49.34572,1
0.73,46.26276,1
0.74,42.8538,1
0.75,39.37112,1
0.76,35.60509,1
0.77,31.7829,1
0.78,27.84994,1
0.79,23.88076,1
0.8,19.88237,1
0.81,16.1225,1
0.82,12.43361,1
0.83,9.42528,1
0.84,6.66052,1
0.85,4.80811,1
0.86,3.49978,1
0.87,2.9365,1
0.88,3.14505,1
0.89,3.78931,1
0.9,4.59308,1
0.91,5.45203,2
0.92,6.6695,2
0.93,7.9249,2
0.94,9.52172,2
0.95,11.13961,2
0.96,12.90296,2
0.97,14.61787,2
0.98,16.06491,2
0.99,17.40503,2
