t,y
0.0,-0.03883
0.01,0.05603
0.02,0.15008
0.03,0.24495
0.04,0.34128
0.05,0.43858
0.06,0.53516
0.07,0.62865
0.08,0.71638
0.09,0.79615
0.1,0.86609
0.11,0.92501
0.12,0.97201
0.13,1.00624
0.14,1.02677
0.15,1.03253
0.16,1.02238
0.17,0.99549
0.18,0.95143
0.19,0.89071
0.2,0.81482
0.21,0.72649
0.22,0.62949
0.23,0.5282
0.24,0.42704
0.25,0.32961
0.26,0.23822
0.27,0.15352
0.28,0.07481
0.29,0.00025
0.3,-0.07226
0.31,-0.14437
0.32,-0.21679
0.33,-0.28907
0.34,-0.35968
0.35,-0.42643
0.36,-0.48697
0.37,-0.53932
0.38,-0.58213
0.39,-0.61492
0.4,-0.63759
0.41,-0.65002
0.42,-0.65153
0.43,-0.64042
0.44,-0.61404
0.45,-0.56924
0.46,-0.50318
0.47,-0.41446
0.48,-0.30375
0.49,-0.17424
0.5,-0.03119
0.51,0.11886
0.52,0.26919
0.53,0.41419
0.54,0.5498
0.55,0.67383
0.56,0.78516
0.57,0.88316
0.58,0.96698
0.59,1.03479
0.6,1.08438
0.61,1.11324
0.62,1.1198
0.63,1.10377
0.64,1.06665
0.65,1.0113
0.66,0.94145
0.67,0.86076
0.68,0.77209
0.69,0.67702
0.7,0.57583
0.71,0.46753
0.72,0.35077
0.73,0.22402
0.74,0.08685
0.75,-0.06018
0.76,-0.21475
0.77,-0.37301
0.78,-0.52984
0.79,-0.67919
0.8,-0.81494
0.81,-0.93158
0.82,-1.02496
0.83,-1.09316
0.84,-1.13676
0.85,-1.15861
0.86,-1.16303
0.87,-1.15443
0.88,-1.13589
0.89,-1.10802
0.9,-1.06896
0.91,-1.01508
0.92,-0.94256
0.93,-0.84896
0.94,-0.73403
0.95,-0.60004
0.96,-0.45082
0.97,-0.2907
0.98,-0.12346
0.99,0.04794
1.0,0.2209
1.01,0.39249
1.02,0.55871
1.03,0.71418
1.04,0.85282
1.05,0.96879
1.06,1.05792
1.07,1.11846
1.08,1.1516
1.09,1.16098
1.1,1.15188
1.11,1.12998
1.12,1.10029
1.13,1.0663
1.14,1.02966
1.15,0.99022
1.16,0.9463
1.17,0.89549
1.18,0.83531
1.19,0.764
1.2,0.68106
1.21,0.58758
1.22,0.48615
1.23,0.3803
1.24,0.27392
1.25,0.1704
1.26,0.07201
1.27,-0.02042
1.28,-0.10767
1.29,-0.19158
1.3,-0.27479
1.31,-0.35969
1.32,-0.44797
1.33,-0.53986
1.34,-0.63362
1.35,-0.72557
1.36,-0.81041
1.37,-0.88173
1.38,-0.93286
1.39,-0.95807
1.4,-0.95315
1.41,-0.91618
1.42,-0.84769
1.43,-0.75068
1.44,-0.63009
1.45,-0.49207
1.46,-0.34338
1.47,-0.19058
1.48,-0.03946
1.49,0.10519
1.5,0.23983
1.51,0.36203
1.52,0.47045
1.53,0.56477
1.54,0.64555
1.55,0.71405
1.56,0.77182
1.57,0.82045
1.58,0.86111
1.59,0.8942
1.6,0.91955
1.61,0.93651
1.62,0.94434
1.63,0.94287
1.64,0.93256
1.65,0.9147
1.66,0.89088
1.67,0.86259
1.68,0.83031
1.69,0.79282
1.7,0.74708
1.71,0.68862
1.72,0.61245
1.73,0.51465
1.74,0.39355
1.75,0.25068
1.76,0.09078
1.77,-0.07868
1.78,-0.24874
1.79,-0.41049
1.8,-0.55604
1.81,-0.67929
1.82,-0.77642
1.83,-0.84545
1.84,-0.88609
1.85,-0.89919
1.86,-0.88646
1.87,-0.85053
1.88,-0.79499
1.89,-0.72443
1.9,-0.644
1.91,-0.55898
1.92,-0.47379
1.93,-0.39102
1.94,-0.31117
1.95,-0.23294
1.96,-0.15416
1.97,-0.07304
1.98,0.01076
1.99,0.09593
2.0,0.18008
2.01,0.26093
2.02,0.33767
2.03,0.41167
2.04,0.48655
2.05,0.56692
2.06,0.65691
2.07,0.75844
2.08,0.86987
2.09,0.9862
2.1,1.09974
2.11,1.20191
2.12,1.28509
2.13,1.34412
2.14,1.37687
2.15,1.38375
2.16,1.36689
2.17,1.32884
2.18,1.27157
2.19,1.19603
2.2,1.10243
2.21,0.9903
2.22,0.8593
2.23,0.70961
2.24,0.54241
2.25,0.3604
2.26,0.16817
2.27,-0.02749
2.28,-0.21805
2.29,-0.39395
2.3,-0.54609
2.31,-0.66755
2.32,-0.75468
2.33,-0.80765
2.34,-0.83003
2.35,-0.82749
2.36,-0.80622
2.37,-0.77152
2.38,-0.72664
2.39,-0.6727
2.4,-0.60884
2.41,-0.53329
2.42,-0.44418
2.43,-0.34042
2.44,-0.22254
2.45,-0.09319
2.46,0.04298
2.47,0.17964
2.48,0.31
2.49,0.42786
2.5,0.52904
2.51,0.61212
2.52,0.67858
2.53,0.73236
2.54,0.77872
2.55,0.82255
2.56,0.86745
2.57,0.91457
2.58,0.96243
2.59,1.00729
2.6,1.0442
2.61,1.06836
2.62,1.07633
2.63,1.06726
2.64,1.04318
2.65,1.00848
2.66,0.96908
2.67,0.93068
2.68,0.89742
2.69,0.8707
2.7,0.84858
2.71,0.8262
2.72,0.79661
2.73,0.75245
2.74,0.68753
2.75,0.59833
2.76,0.48494
2.77,0.35091
2.78,0.20233
2.79,0.04638
2.8,-0.11013
2.81,-0.26182
2.82,-0.405
2.83,-0.53712
2.84,-0.65584
2.85,-0.75833
2.86,-0.84103
2.87,-0.90013
2.88,-0.93232
2.89,-0.93563
2.9,-0.90984
2.91,-0.85631
2.92,-0.77752
2.93,-0.67629
2.94,-0.55548
2.95,-0.41776
2.96,-0.2658
2.97,-0.10245
2.98,0.06913
2.99,0.24554
3.0,0.42341
3.01,0.59935
3.02,0.7702
3.03,0.93263
3.04,1.08312
3.05,1.21807
3.06,1.33379
3.07,1.42727
3.08,1.49658
3.09,1.54142
3.1,1.5632
3.11,1.56472
3.12,1.54946
3.13,1.5208
3.14,1.48107
3.15,1.43119
3.16,1.37037
3.17,1.2967
3.18,1.20763
3.19,1.1012
3.2,0.97671
3.21,0.83548
3.22,0.68105
3.23,0.51886
3.24,0.35541
3.25,0.19747
3.26,0.05088
3.27,-0.07998
3.28,-0.19256
3.29,-0.28572
3.3,-0.35955
3.31,-0.41497
3.32,-0.45335
3.33,-0.47679
3.34,-0.48813
3.35,-0.49089
3.36,-0.48887
3.37,-0.48531
3.38,-0.4819
3.39,-0.47795
3.4,-0.47032
3.41,-0.45382
3.42,-0.42277
3.43,-0.37246
3.44,-0.30067
3.45,-0.20821
3.46,-0.09868
3.47,0.02265
3.48,0.1503
3.49,0.27983
3.5,0.40837
3.51,0.53452
3.52,0.65767
3.53,0.77705
3.54,0.89098
3.55,0.99687
3.56,1.09135
3.57,1.17106
3.58,1.23309
3.59,1.27561
3.6,1.298
3.61,1.30082
3.62,1.28555
3.63,1.25432
3.64,1.20945
3.65,1.15327
3.66,1.0877
3.67,1.014
3.68,0.93282
3.69,0.84407
3.7,0.74711
3.71,0.64125
3.72,0.52625
3.73,0.40296
3.74,0.27357
3.75,0.14184
3.76,0.0126
3.77,-0.10882
3.78,-0.21726
3.79,-0.30846
3.8,-0.37962
3.81,-0.42944
3.82,-0.45819
3.83,-0.46742
3.84,-0.45944
3.85,-0.43705
3.86,-0.40284
3.87,-0.35874
3.88,-0.30562
3.89,-0.24357
3.9,-0.17188
3.91,-0.09012
3.92,0.00139
3.93,0.10102
3.94,0.20587
3.95,0.3123
3.96,0.41683
3.97,0.51684
3.98,0.611
3.99,0.69937
4.0,0.78282
4.01,0.86227
4.02,0.93797
4.03,1.009
4.04,1.07335
4.05,1.12827
4.06,1.17107
4.07,1.19991
4.08,1.21458
4.09,1.21674
4.1,1.20961
4.11,1.19733
4.12,1.18377
4.13,1.17138
4.14,1.16086
4.15,1.15096
4.16,1.13917
4.17,1.12272
4.18,1.09927
4.19,1.06735
4.2,1.02621
4.21,0.97512
4.22,0.91279
4.23,0.83728
4.24,0.74623
4.25,0.63746
4.26,0.51049
4.27,0.36701
4.28,0.21152
4.29,0.05105
4.3,-0.10569
4.31,-0.24941
4.32,-0.37149
4.33,-0.46496
4.34,-0.52522
4.35,-0.55012
4.36,-0.53989
4.37,-0.49681
4.38,-0.42491
4.39,-0.3296
4.4,-0.21718
4.41,-0.09441
4.42,0.03199
4.43,0.156
4.44,0.27298
4.45,0.37998
4.46,0.47612
4.47,0.56256
4.48,0.64219
4.49,0.71884
4.5,0.79654
4.51,0.87831
4.52,0.96554
4.53,1.0575
4.54,1.15172
4.55,1.24437
4.56,1.33147
4.57,1.40943
4.58,1.47563
4.59,1.52863
4.6,1.5679
4.61,1.5935
4.62,1.6056
4.63,1.60436
4.64,1.58921
4.65,1.55902
4.66,1.51172
4.67,1.44498
4.68,1.35689
4.69,1.24697
4.7,1.1172
4.71,0.97226
4.72,0.8193
4.73,0.66677
4.74,0.52293
4.75,0.39419
4.76,0.28403
4.77,0.19276
4.78,0.11772
4.79,0.0542
4.8,-0.00331
4.81,-0.05999
4.82,-0.11962
4.83,-0.18387
4.84,-0.25171
4.85,-0.3196
4.86,-0.38196
4.87,-0.43236
4.88,-0.4648
4.89,-0.47523
4.9,-0.4623
4.91,-0.42752
4.92,-0.37425
4.93,-0.30627
4.94,-0.22627
4.95,-0.135
4.96,-0.03139
4.97,0.08646
4.98,0.21925
4.99,0.36521
5.0,0.5189
5.01,0.67225
5.02,0.81567
5.03,0.94063
5.04,1.04157
5.05,1.11706
5.06,1.17001
5.07,1.20622
5.08,1.2325
5.09,1.25433
5.1,1.2745
5.11,1.29221
5.12,1.30387
5.13,1.30462
5.14,1.29035
5.15,1.25918
5.16,1.21219
5.17,1.15292
5.18,1.0859
5.19,1.01485
5.2,0.94146
5.21,0.86483
5.22,0.78205
5.23,0.68976
5.24,0.58555
5.25,0.46923
5.26,0.34327
5.27,0.21255
5.28,0.08332
5.29,-0.03793
5.3,-0.14571
5.31,-0.23615
5.32,-0.30743
5.33,-0.3594
5.34,-0.39319
5.35,-0.41028
5.36,-0.41248
5.37,-0.40121
5.38,-0.37768
5.39,-0.3427
5.4,-0.29687
5.41,-0.24049
5.42,-0.17386
5.43,-0.09754
5.44,-0.01254
5.45,0.07947
5.46,0.1764
5.47,0.27586
5.48,0.37579
5.49,0.47459
5.5,0.5714
5.51,0.66562
