t,y
0.0,37.6
0.006,326.6
0.012,473.8
0.018,400.0
0.024,455.0
0.03,528.5
0.036,530.0
0.042,555.8
0.048,619.5
0.054,671.1
0.06,696.8
0.066,709.0
0.072,736.2
0.078,779.8
0.084,827.4
0.09,871.0
0.096,906.2
0.102,930.2
0.108,942.9
0.114,949.3
0.12,948.9
0.126,940.7
0.132,928.6
0.138,916.6
0.144,905.3
0.15,890.8
0.156,871.2
0.162,846.4
0.168,819.6
0.174,792.9
0.18,764.6
0.186,737.8
0.192,712.8
0.198,689.0
0.204,667.0
0.21,646.4
0.216,627.5
0.222,608.9
0.228,593.2
0.234,579.1
0.24,566.1
0.246,556.8
0.252,545.8
0.258,537.7
0.264,530.2
0.27,526.0
0.276,521.1
0.282,518.3
0.288,519.0
0.294,522.4
0.3,527.1
0.306,537.3
0.312,550.1
0.318,566.4
0.324,585.0
0.33,604.3
0.336,627.2
0.342,650.2
0.348,673.6
0.354,697.6
0.36,724.2
0.366,747.7
0.372,772.9
0.378,797.0
0.384,819.5
0.39,842.1
0.396,864.8
0.402,886.3
0.408,907.5
0.414,926.6
0.42,942.8
0.426,958.1
0.432,970.7
0.438,979.7
0.444,985.1
0.45,987.1
0.456,985.7
0.462,981.3
0.468,974.3
0.474,961.9
0.48,944.1
0.486,922.3
0.492,895.8
0.498,864.6
0.504,824.8
0.51,781.8
0.516,734.6
0.522,669.6
0.528,603.5
0.534,526.5
0.54,438.3
0.546,350.3
0.552,262.5
0.558,188.3
0.564,129.2
0.57,100.9
0.576,75.1
0.582,58.3
0.588,44.9
0.594,33.4
0.6,20.9
