t,y
0.0,5.5
0.012,7.9
0.024,11.0
0.036,14.4
0.048,17.2
0.06,18.9
0.072,19.7
0.084,19.6
0.096,18.9
0.108,18.0
0.12,16.9
0.132,15.7
0.144,14.5
0.156,13.2
0.168,12.0
0.18,10.8
0.192,9.8
0.204,8.8
0.216,7.9
0.228,7.2
0.24,6.8
0.252,6.7
0.264,7.1
0.276,8.0
0.288,9.5
0.3,11.6
0.312,14.4
0.324,18.1
0.336,22.6
0.348,28.0
0.36,34.1
0.372,40.6
0.384,47.0
0.396,52.5
0.408,56.8
0.42,59.4
0.432,60.5
0.444,60.0
0.456,58.2
0.468,55.0
0.48,50.8
0.492,45.5
0.504,39.5
0.516,32.9
0.528,26.0
0.54,19.0
0.552,12.6
0.564,7.5
0.576,4.5
0.588,3.8
0.6,5.2
